Date,Open,High,Low,Close,Adj Close,Volume
2010-04-01,null,null,null,null,null,null
2010-05-01,0.155000,0.170000,0.080000,0.150000,0.150000,0
2010-06-01,0.155000,0.180000,0.050000,0.170000,0.170000,0
2010-07-01,0.170000,0.170000,0.135000,0.140000,0.140000,0
2010-08-01,0.140000,0.155000,0.125000,0.135000,0.135000,0
2010-09-01,0.135000,0.160000,0.120000,0.155000,0.155000,0
2010-10-01,0.155000,0.155000,0.110000,0.110000,0.110000,0
2010-11-01,0.110000,0.165000,0.100000,0.160000,0.160000,0
2010-12-01,0.160000,0.160000,0.090000,0.115000,0.115000,0
2011-01-01,0.135000,0.160000,0.110000,0.145000,0.145000,0
2011-02-01,0.150000,0.155000,0.075000,0.135000,0.135000,0
2011-03-01,0.140000,0.140000,0.060000,0.090000,0.090000,0
2011-04-01,0.045000,0.090000,0.015000,0.040000,0.040000,0
2011-05-01,0.040000,0.055000,0.005000,0.040000,0.040000,0
2011-06-01,0.055000,0.055000,0.005000,0.015000,0.015000,0
2011-07-01,0.025000,0.095000,0.005000,0.090000,0.090000,0
2011-08-01,0.075000,0.090000,0.005000,0.015000,0.015000,0
2011-09-01,0.010000,0.025000,0.005000,0.010000,0.010000,0
2011-10-01,0.015000,0.030000,0.005000,0.005000,0.005000,0
2011-11-01,0.005000,0.020000,0.005000,0.015000,0.015000,0
2011-12-01,0.015000,0.015000,0.005000,0.005000,0.005000,0
2012-01-01,0.015000,0.055000,0.005000,0.055000,0.055000,0
2012-02-01,0.055000,0.120000,0.055000,0.075000,0.075000,0
2012-03-01,0.070000,0.095000,0.055000,0.065000,0.065000,0
2012-04-01,0.065000,0.095000,0.055000,0.090000,0.090000,0
2012-05-01,0.095000,0.100000,0.050000,0.060000,0.060000,0
2012-06-01,0.055000,0.100000,0.055000,0.080000,0.080000,0
2012-07-01,0.085000,0.105000,0.060000,0.100000,0.100000,0
2012-08-01,0.090000,0.115000,0.070000,0.085000,0.085000,0
2012-09-01,0.095000,0.110000,0.080000,0.090000,0.090000,0
